Class,Precision,Recall,F1
Duplication,0.46153846153846156,0.7676609105180534,0.5764809902740937
Non-Links,0.6290726817042607,0.3940345368916798,0.4845559845559846
Other-Links,0.7535387177352206,0.7103610675039247,0.7313131313131314
Both,0.826189078097475,0.5521978021978022,0.6619618913196895
