Class,Precision,Recall,F1
Duplication,0.47596153846153844,0.75,0.5823529411764706
Non-Links,0.6732673267326733,0.5151515151515151,0.5836909871244634
Other-Links,0.725,0.6590909090909091,0.6904761904761905
Both,0.824468085106383,0.5871212121212122,0.6858407079646018
