Class,Precision,Recall,F1
Duplication,0.648,0.6136363636363636,0.6303501945525293
Non-Links,0.47058823529411764,0.6666666666666666,0.5517241379310345
Other-Links,0.65625,0.6363636363636364,0.6461538461538462
Both,0.7894736842105263,0.625,0.6976744186046512
