Class,Precision,Recall,F1
Duplication,0.6923076923076923,0.6108597285067874,0.6490384615384616
Non-Links,0.49538461538461537,0.7285067873303167,0.5897435897435896
Other-Links,0.7044334975369458,0.6470588235294118,0.6745283018867925
Both,0.8224852071005917,0.6289592760180995,0.7128205128205128
