Class,Precision,Recall,F1
Duplication,0.5497793035801863,0.8799058084772371,0.6767280410504075
Non-Links,0.8711036225779275,0.8116169544740973,0.8403088175538398
Other-Links,0.7957276368491322,0.46781789638932497,0.5892239248640634
Both,0.9141895681435782,0.6397174254317112,0.7527129993073193
