Class,Precision,Recall,F1
Duplication,0.6163362410785092,0.8817789879736783,0.7255414488424198
Non-Links,0.8631108775617446,0.7454050374404356,0.7999512967247047
Other-Links,0.8565133572018727,0.7056954844565464,0.7738243344115452
Both,0.9246674378253326,0.7255502609484911,0.8130959949141767
