Class,Precision,Recall,F1
Duplication,0.48642533936651583,0.7904411764705882,0.6022408963585434
Non-Links,0.696,0.4797794117647059,0.5680087051142546
Other-Links,0.7659137577002053,0.6856617647058824,0.7235693501454897
Both,0.8475935828877005,0.5827205882352942,0.6906318082788672
