Class,Precision,Recall,F1
Duplication,0.540590405904059,0.6899529042386185,0.6062068965517241
Non-Links,0.6822204344328238,0.6656200941915228,0.6738180373460468
Other-Links,0.706973293768546,0.7480376766091051,0.7269260106788711
Both,0.8201275045537341,0.706828885400314,0.759274873524452
