Class,Precision,Recall,F1
Duplication,0.5975182481751825,0.9287497163603359,0.7271919694412367
Non-Links,0.9282777523983554,0.9221692761515771,0.9252134319863403
Other-Links,0.8638925010836584,0.4522350805536646,0.5936848376526661
Both,0.950714173599121,0.6872021783526209,0.7977609483042477
