Class,Precision,Recall,F1
Duplication,0.6677445432497979,0.6248108925869894,0.6455646737006644
Non-Links,0.47721320062860134,0.68910741301059,0.5639121015165584
Other-Links,0.6661251015434606,0.6202723146747352,0.6423815119467293
Both,0.8001944579484687,0.6225416036308623,0.7002765369070411
