Class,Precision,Recall,F1
Duplication,0.7976424361493124,0.7463235294117647,0.7711301044634379
Non-Links,0.5757180156657964,0.8106617647058824,0.6732824427480917
Other-Links,0.7760869565217391,0.65625,0.7111553784860559
Both,0.8810623556581986,0.7012867647058824,0.7809621289662231
