Class,Precision,Recall,F1
Duplication,0.4117647058823529,0.7,0.5185185185185185
Non-Links,0.625,0.5,0.5555555555555556
Other-Links,0.625,0.5,0.5555555555555556
Both,0.7692307692307693,0.5,0.6060606060606061
